iter	Passed	Remaining
0	56	56107
1	57	28483
2	57	19216
3	58	14566
4	59	11809
5	60	9967
6	60	8647
7	61	7639
8	62	6863
9	63	6252
10	63	5739
11	64	5310
12	65	4950
13	65	4646
14	66	4378
15	67	4144
16	68	3934
17	68	3750
18	69	3580
19	69	3429
20	70	3289
21	71	3158
22	71	3047
23	72	2944
24	73	2847
25	73	2759
26	74	2677
27	75	2604
28	75	2532
29	76	2467
30	76	2405
31	77	2350
32	78	2301
33	79	2250
34	79	2204
35	80	2160
36	81	2118
37	82	2079
38	82	2040
39	83	2003
40	84	1968
41	84	1933
42	85	1899
43	86	1874
44	87	1847
45	87	1821
46	88	1794
47	89	1768
48	89	1743
49	90	1723
50	91	1702
51	92	1684
52	93	1664
53	93	1644
54	94	1625
55	95	1605
56	96	1588
57	96	1569
58	97	1551
59	97	1534
60	98	1517
61	99	1502
62	99	1486
63	100	1470
64	101	1456
65	101	1442
66	102	1428
67	103	1412
68	103	1400
69	104	1387
70	105	1375
71	105	1365
72	106	1355
73	107	1343
74	108	1333
75	108	1323
76	109	1312
77	110	1301
78	110	1292
79	111	1282
80	112	1272
81	112	1263
82	113	1253
83	114	1244
84	114	1236
85	115	1229
86	116	1227
87	117	1220
88	118	1212
89	119	1204
90	119	1198
91	120	1191
92	121	1184
93	122	1177
94	123	1174
95	123	1167
96	124	1160
97	125	1153
98	126	1147
99	126	1141
100	127	1134
101	128	1127
102	128	1122
103	129	1115
104	130	1110
105	132	1116
106	133	1113
107	134	1109
108	135	1105
109	136	1101
110	137	1097
111	137	1092
112	138	1088
113	139	1087
114	140	1083
115	141	1080
116	142	1077
117	143	1072
118	144	1067
119	145	1064
120	145	1059
121	146	1054
122	147	1049
123	147	1044
124	148	1041
125	149	1037
126	150	1032
127	150	1028
128	151	1025
129	152	1021
130	153	1018
131	154	1014
132	155	1010
133	155	1007
134	156	1003
135	157	1000
136	158	997
137	159	993
138	159	989
139	160	985
140	161	980
141	161	976
142	162	972
143	163	968
144	163	962
145	163	957
146	164	953
147	165	949
148	165	946
149	166	940
150	166	936
151	166	931
152	167	928
153	168	926
154	169	923
155	170	920
156	170	916
157	171	914
158	172	911
159	172	907
160	173	903
161	174	900
162	174	897
163	175	894
164	176	891
165	176	888
166	177	885
167	178	881
168	178	877
169	179	874
170	179	871
171	180	868
172	181	865
173	182	864
174	182	861
175	183	858
176	184	856
177	184	852
178	185	850
179	185	847
180	186	844
181	187	841
182	187	838
183	188	835
184	188	831
185	189	828
186	189	824
187	190	822
188	191	820
189	191	817
190	192	813
191	192	811
192	193	809
193	194	806
194	194	804
195	195	802
196	196	801
197	196	797
198	197	794
199	197	791
200	198	788
201	198	785
202	199	781
203	199	778
204	199	774
205	200	772
206	200	769
207	201	768
208	202	765
209	202	762
210	202	759
211	203	756
212	204	755
213	205	753
214	205	749
215	206	748
216	206	744
217	206	741
218	207	738
219	207	736
220	207	733
221	208	731
222	209	728
223	209	726
224	210	723
225	210	720
226	211	720
227	212	719
228	213	717
229	213	716
230	214	713
231	214	710
232	215	708
233	215	705
234	215	702
235	216	700
236	216	697
237	217	695
238	217	693
239	218	691
240	219	690
241	219	687
242	220	685
243	220	684
244	221	681
245	221	679
246	222	677
247	222	676
248	223	673
249	224	672
250	224	670
251	225	669
252	225	667
253	226	665
254	227	664
255	228	663
256	228	662
257	229	660
258	230	659
259	231	657
260	231	655
261	232	653
262	232	652
263	233	650
