iter	RMSE
0	31.71010602
1	30.69126438
2	29.64829388
3	28.76202804
4	27.90931817
5	27.07863245
6	26.25064522
7	25.40883919
8	24.57042453
9	23.7731884
10	23.08507714
11	22.40192645
12	21.69252741
13	21.01330764
14	20.3831873
15	19.7431233
16	19.10026725
17	18.50514221
18	17.99368849
19	17.42243279
20	16.90776551
21	16.42696767
22	15.92890335
23	15.42956222
24	14.94959162
25	14.52598892
26	14.12546865
27	13.70753645
28	13.30355974
29	12.94912397
30	12.55551817
31	12.15417086
32	11.81638305
33	11.46445852
34	11.16306469
35	10.81874686
36	10.4861377
37	10.20130575
38	9.882918097
39	9.589969019
40	9.32383632
41	9.074400393
42	8.821536125
43	8.584562365
44	8.322922482
45	8.087605286
46	7.871506007
47	7.63585407
48	7.422942382
49	7.200019372
50	6.999710554
51	6.80625101
52	6.626138423
53	6.466221915
54	6.283985494
55	6.119607259
56	5.954577525
57	5.810777588
58	5.662157255
59	5.503634198
60	5.358997166
61	5.229618619
62	5.099294622
63	4.974087819
64	4.854597486
65	4.743975079
66	4.627323483
67	4.521837878
68	4.418373996
69	4.305389862
70	4.195920258
71	4.096816522
72	3.998426143
73	3.905769001
74	3.81546289
75	3.729516248
76	3.649246023
77	3.569725579
78	3.487127885
79	3.406023015
80	3.334437772
81	3.270107202
82	3.208849911
83	3.139274239
84	3.088491056
85	3.019552469
86	2.958824842
87	2.901145544
88	2.848797497
89	2.800751682
90	2.754862523
91	2.699637379
92	2.647664902
93	2.599270729
94	2.55212648
95	2.515230804
96	2.473336336
97	2.432733666
98	2.393860982
99	2.350790171
100	2.314542902
101	2.275097009
102	2.240202141
103	2.203887581
104	2.169013349
105	2.136015301
106	2.104909354
107	2.07390322
108	2.041668726
109	2.014692072
110	1.98854369
111	1.964554529
112	1.945803094
113	1.920641102
114	1.896151758
115	1.874702275
116	1.855797706
117	1.832411262
118	1.813437152
119	1.792515366
120	1.783169625
121	1.762032833
122	1.744672691
123	1.73937599
124	1.735299885
125	1.717664257
126	1.703370407
127	1.686097416
128	1.67029023
129	1.658907126
130	1.654907473
131	1.63969177
132	1.634798299
133	1.629127509
