iter	Passed	Remaining
0	56	55983
1	57	28532
2	57	19272
3	58	14616
4	59	11831
5	60	9957
6	60	8625
7	61	7621
8	62	6845
9	62	6218
10	63	5728
11	64	5303
12	65	4943
13	65	4632
14	66	4362
15	67	4131
16	67	3926
17	68	3750
18	69	3587
19	70	3445
20	71	3312
21	71	3184
22	72	3066
23	72	2964
24	73	2869
25	74	2781
26	74	2699
27	75	2622
28	76	2551
29	76	2487
30	77	2425
31	78	2369
32	79	2316
33	79	2266
34	80	2217
35	81	2171
36	81	2128
37	82	2084
38	83	2045
39	83	2008
40	84	1973
41	85	1939
42	86	1934
43	87	1905
44	88	1875
45	89	1845
46	89	1818
47	90	1790
48	90	1765
49	91	1743
50	92	1718
51	93	1696
52	93	1673
53	94	1654
54	95	1634
55	95	1617
56	96	1600
57	97	1583
58	98	1565
59	98	1549
60	99	1531
61	100	1515
62	100	1500
63	101	1486
64	102	1473
65	103	1462
66	104	1449
67	104	1434
68	105	1423
69	106	1410
70	106	1399
71	107	1389
72	108	1378
73	109	1369
74	110	1358
75	110	1349
76	112	1343
77	112	1334
78	113	1325
79	116	1344
80	117	1334
81	118	1324
82	119	1317
83	119	1308
84	120	1299
85	121	1290
86	122	1281
87	123	1274
88	123	1268
89	124	1259
90	125	1250
91	125	1243
92	126	1236
93	127	1229
94	128	1222
95	129	1216
96	130	1211
97	131	1206
98	131	1198
99	132	1191
100	133	1185
101	133	1177
102	134	1170
103	135	1164
104	135	1158
105	136	1153
106	137	1149
107	138	1143
108	139	1137
109	139	1131
110	140	1125
111	141	1119
112	141	1113
113	142	1109
114	143	1103
115	145	1106
116	146	1102
117	146	1097
118	147	1091
119	148	1086
120	148	1081
121	149	1075
122	150	1069
123	150	1062
124	150	1054
125	151	1051
126	152	1047
127	153	1043
128	153	1038
129	154	1034
130	155	1028
131	155	1023
132	156	1017
133	156	1010
134	157	1006
135	157	1002
136	158	998
137	159	995
138	160	991
139	160	988
140	161	984
141	162	980
142	162	974
143	163	970
144	163	966
145	164	961
146	164	957
147	165	951
148	166	948
149	166	945
150	167	942
151	168	938
152	168	934
153	169	929
154	169	924
155	170	921
156	171	918
157	171	915
158	172	910
159	175	919
160	176	917
161	176	914
162	177	909
163	177	906
164	178	903
165	178	899
166	179	895
167	179	891
168	180	888
169	181	885
170	182	882
171	182	879
172	183	875
173	183	871
174	184	869
175	185	866
176	187	870
177	188	869
178	189	867
179	189	863
180	189	859
181	190	855
182	190	851
183	191	848
184	191	844
185	192	842
186	192	838
187	193	835
188	194	833
189	195	832
190	195	829
191	196	826
192	196	822
193	196	818
194	197	814
195	198	812
196	198	809
197	198	805
198	199	802
199	199	798
200	200	796
201	201	794
202	202	794
203	202	790
204	203	790
205	204	786
206	204	783
207	204	779
208	205	777
209	206	775
210	206	773
211	207	771
212	208	769
213	209	768
214	209	765
215	210	762
216	210	759
217	211	757
218	212	756
219	212	754
220	213	752
221	214	750
222	215	749
223	215	747
224	216	744
225	216	742
226	218	742
227	218	739
228	218	737
229	219	733
230	219	730
231	220	728
232	220	725
233	220	722
234	221	720
235	221	717
236	222	715
237	222	713
238	223	711
239	224	709
240	224	706
241	224	704
242	225	702
243	226	701
244	226	699
245	227	697
246	227	694
247	228	692
248	228	690
249	229	688
250	229	685
251	230	685
252	231	684
253	232	681
254	232	680
255	233	677
256	233	674
257	233	671
258	234	669
259	234	667
260	235	665
261	235	663
262	235	660
263	236	659
264	236	657
265	237	654
266	237	651
267	238	650
268	238	648
269	238	645
270	239	644
271	240	642
272	240	641
273	241	640
274	242	638
275	243	637
276	243	636
277	244	635
278	244	633
279	245	631
280	245	629
281	246	627
282	246	625
283	247	623
284	248	622
285	248	620
286	249	619
287	250	618
288	250	615
289	250	613
290	251	612
291	251	610
292	252	608
293	252	607
294	253	605
295	253	604
296	254	602
297	255	601
298	257	603
299	258	602
300	261	607
301	262	606
302	263	606
303	263	604
304	264	602
305	265	601
306	265	599
307	266	598
308	266	596
309	267	595
310	268	593
311	268	593
312	269	592
313	270	591
314	271	591
315	272	589
316	273	589
317	274	589
318	275	588
319	276	586
320	277	586
321	277	584
322	278	583
323	278	581
324	279	580
325	280	579
326	281	579
327	281	577
328	282	576
329	283	575
330	284	574
331	284	572
332	285	571
333	286	570
334	286	569
335	288	569
336	288	568
337	289	567
338	290	566
339	291	565
340	291	563
341	292	562
342	292	561
343	293	559
344	294	558
345	294	557
346	295	556
347	296	555
348	297	554
349	298	553
350	298	552
351	299	551
352	300	550
353	301	549
354	302	549
355	302	548
356	303	546
357	304	545
358	304	544
359	305	542
360	306	541
361	306	540
362	307	538
363	307	537
364	308	536
365	308	535
366	309	534
367	310	532
368	310	531
369	311	530
370	312	529
371	312	528
372	313	527
373	314	525
374	317	529
375	318	528
376	319	527
377	319	526
378	320	525
379	321	523
380	321	522
381	322	521
382	323	520
383	324	520
384	324	519
385	325	517
386	326	516
387	326	515
388	327	514
389	328	513
390	328	512
391	329	510
392	330	510
393	331	510
394	332	509
395	333	508
396	333	507
397	334	505
398	335	504
399	335	503
400	336	503
401	337	502
402	338	500
403	338	499
404	339	499
405	340	498
406	341	497
407	342	496
408	342	495
409	343	494
410	353	506
411	355	506
412	355	505
413	356	504
414	357	503
415	357	501
416	358	500
417	358	499
418	359	498
419	360	497
420	361	496
421	362	496
422	362	494
423	363	493
424	364	492
425	364	491
426	365	490
427	365	489
428	366	487
429	366	486
430	367	485
431	368	484
432	369	483
433	370	482
434	370	481
435	371	480
436	371	479
437	372	477
438	373	476
439	373	475
440	374	474
441	374	473
442	381	479
443	382	478
444	382	477
445	383	476
446	384	475
447	384	474
448	385	473
449	386	472
450	387	471
451	388	470
452	388	469
453	389	468
454	390	467
455	391	467
456	392	465
457	392	464
458	393	463
459	394	462
460	394	461
461	395	460
462	395	459
463	396	457
464	397	456
465	398	456
466	398	455
467	399	454
468	400	453
469	401	452
470	401	451
471	402	450
472	403	449
473	406	451
474	407	450
475	408	449
476	409	448
477	409	447
478	411	447
479	411	446
480	412	445
481	413	443
482	413	442
483	414	441
484	414	440
485	415	439
486	416	438
487	416	437
488	417	436
489	418	435
490	418	434
491	419	433
492	420	431
493	420	430
494	421	429
495	422	429
496	422	427
497	423	427
498	424	426
499	425	425
500	425	424
501	427	424
502	428	423
503	429	422
504	429	421
505	430	420
506	431	419
507	431	418
508	432	417
509	433	416
510	433	415
511	434	413
512	435	413
513	436	412
514	437	411
515	437	410
516	438	409
517	439	408
518	439	407
519	440	406
520	441	405
521	441	404
522	442	403
523	443	402
524	443	401
525	444	400
526	445	399
527	445	398
528	446	397
529	447	396
530	447	395
531	448	394
532	449	393
533	452	395
534	453	394
535	454	393
536	455	392
537	455	391
538	456	390
539	456	389
540	457	388
541	458	387
542	458	386
543	459	385
544	460	384
545	460	383
546	461	382
547	462	381
548	463	380
549	463	379
550	464	378
551	465	377
552	466	376
553	466	375
554	467	374
555	467	373
556	468	372
557	469	371
558	469	370
559	470	369
560	471	368
561	471	367
562	472	366
563	473	365
564	473	364
565	474	363
566	474	362
567	475	361
568	476	360
569	476	359
570	477	358
571	477	357
572	478	356
573	479	355
574	481	355
575	482	355
576	482	354
577	483	353
578	484	352
579	484	351
580	485	350
581	486	349
582	486	348
583	487	347
584	487	346
585	489	345
586	489	344
587	490	343
588	491	342
589	491	341
590	492	340
591	493	339
592	493	338
593	494	337
594	495	336
595	495	335
596	496	335
597	496	334
598	497	333
599	498	332
600	498	331
601	499	330
602	499	329
603	500	328
604	501	327
605	501	326
606	502	325
607	503	324
608	503	323
609	504	322
610	504	321
611	505	320
612	506	319
613	506	318
614	507	317
615	508	316
616	509	316
617	510	315
618	510	314
619	511	313
620	512	312
621	512	311
622	513	310
623	514	309
624	514	308
625	515	308
626	516	307
627	516	306
628	517	305
629	517	304
630	518	303
631	519	302
632	519	301
633	520	300
634	520	299
635	521	298
636	522	297
637	522	296
638	523	295
639	524	294
640	524	293
641	525	292
642	525	292
643	526	291
644	527	290
645	527	289
646	528	288
647	529	287
648	529	286
649	530	285
650	530	284
651	531	283
652	531	282
653	532	281
654	533	280
655	533	279
656	534	278
657	534	278
658	535	277
659	536	276
660	536	275
661	537	274
662	538	273
663	539	272
664	539	271
665	540	271
666	540	270
667	541	269
668	542	268
669	542	267
670	543	266
671	544	265
672	544	264
673	545	263
674	546	263
675	546	262
